id,f1,f2,f3,f4,y1,y2,y3
0,24.88,21.76,28,2228.965759,0,0,0
1,24.82,21.71,28,5377.502441,-0.0199999999999996,-0.140000000000001,-1.05
2,24.88,21.71,28,8528.97644,-0.0499999999999998,-0.11,-2.79
3,24.93,21.74,28,11679.43954,-0.18,-0.19,-5.11
4,24.91,21.67,28,14829.52118,-0.23,-0.17,-8.88
5,24.89,21.73,29,17937.85095,-0.12,-0.11,-13.67
6,24.94,21.72,29,20002.91824,0.00999999999999979,-0.0200000000000005,-22.68
7,24.95,21.75,29,19999.77112,-0.0499999999999998,-0.0999999999999996,-25.98
8,24.87,21.8,29,20000,-0.13,-0.4,-26.43
9,24.87,21.75,29,20000.07629,-0.2,-0.33,-25.73
10,24.89,21.75,29,19999.98093,-0.0999999999999996,-0.41,-24.95
11,24.87,21.73,29,20000.05722,-0.0899999999999999,-0.42,-24.3
12,24.9,21.73,29,20000.01907,-0.12,-0.41,-23.49
13,24.95,21.66,29,19999.94278,-0.0700000000000003,-0.48,-22.54
14,24.88,21.69,29,20000.09537,-0.0300000000000002,-0.5,-21.92
15,24.85,21.78,29,20000.19073,-0.04,-0.54,-21.06
16,24.96,21.72,29,20000.11444,0.00999999999999979,-0.59,-20.52
17,24.94,21.77,29,20000.03815,-0.0300000000000002,-0.66,-19.1
18,25,21.74,29,20000.03815,0,-0.58,-19.18
19,24.96,21.76,29,19999.79019,0.00999999999999979,-0.54,-19.35
20,24.97,21.71,29,20000.19073,0.00999999999999979,-0.6,-19.67
21,25.03,21.75,29,20000.15259,0.0200000000000005,-0.58,-19.73
22,25.06,21.74,29,19999.96185,-0.0199999999999996,-0.73,-19.7
23,25.09,21.75,29,20000.17166,-0.0300000000000002,-0.72,-19.76
24,25.07,21.72,29,20000.15259,-0.109999999999999,-0.76,-20.33
25,25.11,21.72,28,19999.80927,-0.0999999999999996,-0.79,-20.69
26,25.15,21.76,28,20000.26703,-0.12,-0.78,-20.71
27,25.19,21.72,28,19999.90463,-0.0899999999999999,-0.82,-23.12
28,25.22,21.76,28,20000.19073,-0.0999999999999996,-0.79,-23.13
29,25.23,21.72,28,19999.98093,-0.0700000000000003,-0.84,-22.25
30,25.27,21.71,28,19999.94278,-0.0300000000000002,-0.74,-21.54
31,25.3,21.72,29,19999.94278,-0.04,-0.68,-21.16
32,25.35,21.79,28,19999.92371,-0.0499999999999998,-0.85,-21.36
33,25.36,21.73,29,19999.86649,-0.0199999999999996,-0.73,-21.79
34,25.4,21.76,29,19999.94278,-0.0700000000000003,-0.810000000000001,-22.09
35,25.41,21.73,28,19999.96185,-0.04,-0.87,-22.11
36,25.46,21.72,28,19999.90463,-0.0899999999999999,-0.91,-26.42
37,25.5,21.77,28,20000.05722,-0.0899999999999999,-0.87,-26.44
38,25.5,21.74,28,20000.01907,-0.04,-0.9,-25.66
39,25.54,21.69,28,20000.17166,-0.0999999999999996,-0.85,-24.85
40,25.55,21.66,28,20000,-0.0800000000000001,-0.84,-24.05
41,25.6,21.77,28,20000.01907,-0.0300000000000002,-0.94,-23.26
42,25.57,21.71,28,20000.22888,-0.0599999999999996,-0.810000000000001,-23
43,25.69,21.75,29,19999.79019,-0.0899999999999999,-0.810000000000001,-23.36
44,25.66,21.69,28,19999.96185,-0.109999999999999,-0.84,-23.41
45,25.68,21.76,28,20000.13351,-0.0199999999999996,-0.94,-23.42
46,25.75,21.76,28,20000.01907,-0.0999999999999996,-0.97,-27.63
47,25.75,21.71,28,19999.86649,-0.04,-0.87,-27.63
48,25.75,21.76,28,20000.11444,-0.04,-0.92,-26.71
49,25.84,21.72,28,19999.67575,-0.0800000000000001,-0.86,-25.79
50,25.83,21.73,28,20000.07629,-0.0599999999999996,-0.96,-24.93
51,25.85,21.71,28,20000,-0.0599999999999996,-0.93,-24.3
52,25.83,21.75,28,20000.3624,-0.0899999999999999,-0.97,-24.03
53,25.82,21.79,28,20000.15259,-0.0599999999999996,-0.91,-24.47
54,25.87,21.74,28,20000.15259,-0.04,-0.95,-24.65
55,25.93,21.78,28,19999.75204,-0.12,-0.94,-28.29
56,25.95,21.75,28,19999.96185,-0.14,-0.9,-28.25
57,26,21.73,28,20000.38147,-0.0999999999999996,-0.95,-27.27
